20:10:48 [background-preinit] INFO    --- o.h.v.i.u.Version - HV000001: Hibernate Validator 6.2.2.Final
20:10:48 [restartedMain] INFO    --- c.j.j.Java16GiraTrankimphuApplication - Starting Java16GiraTrankimphuApplication using Java 17.0.2 on TKP-PC with PID 1992 (E:\workspace\java16-gira-trankimphu\target\classes started by TKP in E:\workspace\java16-gira-trankimphu)
20:10:48 [restartedMain] INFO    --- c.j.j.Java16GiraTrankimphuApplication - No active profile set, falling back to 1 default profile: "default"
20:10:48 [restartedMain] INFO    --- o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
20:10:48 [restartedMain] INFO    --- o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
20:10:53 [restartedMain] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20:10:53 [restartedMain] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 196 ms. Found 3 JPA repository interfaces.
20:10:55 [restartedMain] INFO    --- o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
20:10:55 [restartedMain] INFO    --- o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
20:10:55 [restartedMain] INFO    --- o.a.c.c.StandardService - Starting service [Tomcat]
20:10:55 [restartedMain] INFO    --- o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
20:10:56 [restartedMain] INFO    --- o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
20:10:56 [restartedMain] INFO    --- o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7302 ms
20:10:56 [restartedMain] INFO    --- o.f.c.i.l.VersionPrinter - Flyway Community Edition 7.7.3 by Redgate
20:10:56 [restartedMain] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Starting...
20:10:57 [restartedMain] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Start completed.
20:10:57 [restartedMain] INFO    --- o.f.c.i.d.b.DatabaseType - Database: jdbc:postgresql://localhost:5432/postgres (PostgreSQL 14.2)
20:10:58 [restartedMain] WARN    --- o.f.c.i.d.b.Database - Flyway upgrade recommended: org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@7c3c8c18 14.2 is newer than this version of Flyway and support has not been tested. The latest supported version of org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@7c3c8c18 is 13.
20:10:58 [restartedMain] INFO    --- o.f.c.i.c.DbValidate - Successfully validated 2 migrations (execution time 00:00.132s)
20:10:58 [restartedMain] INFO    --- o.f.c.i.c.DbMigrate - Current version of schema "public": 1
20:10:58 [restartedMain] INFO    --- o.f.c.i.c.DbMigrate - Migrating schema "public" to version "2 - add user model"
20:10:59 [restartedMain] INFO    --- o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
20:10:59 [restartedMain] INFO    --- o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
20:10:59 [restartedMain] INFO    --- o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
20:10:59 [restartedMain] INFO    --- o.f.c.i.s.DefaultSqlScriptExecutor - 0 rows affected
20:10:59 [restartedMain] INFO    --- o.f.c.i.c.DbMigrate - Successfully applied 1 migration to schema "public", now at version v2 (execution time 00:01.378s)
20:11:00 [restartedMain] INFO    --- o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
20:11:00 [restartedMain] INFO    --- o.h.Version - HHH000412: Hibernate ORM core version 5.4.33
20:11:00 [restartedMain] INFO    --- o.h.a.c.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
20:11:01 [restartedMain] INFO    --- o.h.d.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
20:11:03 [restartedMain] INFO    --- o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
