19:11:01 [background-preinit] INFO    --- o.h.v.i.u.Version - HV000001: Hibernate Validator 6.2.2.Final
19:11:01 [main] INFO    --- c.j.j.Java16GiraTrankimphuApplicationTests - Starting Java16GiraTrankimphuApplicationTests using Java 17.0.2 on TKP-PC with PID 9364 (started by TKP in E:\workspace\java16-gira-trankimphu)
19:11:01 [main] INFO    --- c.j.j.Java16GiraTrankimphuApplicationTests - No active profile set, falling back to 1 default profile: "default"
19:11:06 [main] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
19:11:06 [main] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 297 ms. Found 2 JPA repository interfaces.
19:11:09 [main] INFO    --- o.f.c.i.l.VersionPrinter - Flyway Community Edition 7.7.3 by Redgate
19:11:09 [main] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Starting...
19:11:12 [main] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Start completed.
19:11:12 [Thread-30] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
19:11:12 [Thread-30] INFO    --- c.z.h.HikariDataSource - HikariPool-7 - Shutdown initiated...
19:11:12 [Thread-30] INFO    --- c.z.h.HikariDataSource - HikariPool-7 - Shutdown completed.
19:11:12 [main] INFO    --- o.f.c.i.d.b.DatabaseType - Database: jdbc:postgresql://localhost:5432/postgres (PostgreSQL 14.2)
19:11:12 [restartedMain] INFO    --- c.j.j.Java16GiraTrankimphuApplication - Starting Java16GiraTrankimphuApplication using Java 16.0.2 on TKP-PC with PID 8016 (E:\workspace\java16-gira-trankimphu\target\classes started by TKP in E:\workspace\java16-gira-trankimphu)
19:11:12 [restartedMain] INFO    --- c.j.j.Java16GiraTrankimphuApplication - No active profile set, falling back to 1 default profile: "default"
19:11:13 [main] WARN    --- o.f.c.i.d.b.Database - Flyway upgrade recommended: org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@6326c5ec 14.2 is newer than this version of Flyway and support has not been tested. The latest supported version of org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@6326c5ec is 13.
19:11:13 [main] INFO    --- o.f.c.i.c.DbValidate - Successfully validated 1 migration (execution time 00:00.539s)
19:11:13 [main] INFO    --- o.f.c.i.c.DbMigrate - Current version of schema "public": 1
19:11:13 [main] INFO    --- o.f.c.i.c.DbMigrate - Schema "public" is up to date. No migration necessary.
19:11:14 [restartedMain] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
